역,역명,질문,질문 full,GPT 응답
미아,미아역,여자 화장실에 기저귀 교환대 있어?,미아역 여자 화장실에 기저귀 교환대 있어?,
미아사거리,미아사거리역,화장실이 게이트 밖에 있어?,미아사거리역 화장실이 게이트 밖에 있어?,
길음,길음역,화장실 몇번 출구에 가까워?,길음역 화장실 몇번 출구에 가까워?,
성신여대입구,성신여대입구역,화장실 몇 층이야?,성신여대입구역 화장실 몇 층이야?,
한성대입구,한성대입구역,화장실 5년 내에 리모델링 했어?,한성대입구역 화장실 5년 내에 리모델링 했어?,
혜화,혜화역,급똥!,혜화역 급똥!,
충무로,충무로역,여자 장애인 화장실 있어?,충무로역 여자 장애인 화장실 있어?,
명동,명동역,여자 화장실에 기저귀 교환대 있어?,명동역 여자 화장실에 기저귀 교환대 있어?,
회현,회현역,화장실이 게이트 밖에 있어?,회현역 화장실이 게이트 밖에 있어?,
숙대입구,숙대입구역,화장실 몇번 출구에 가까워?,숙대입구역 화장실 몇번 출구에 가까워?,
삼각지,삼각지역,화장실 몇 층이야?,삼각지역 화장실 몇 층이야?,
신용산,신용산역,화장실 5년 내에 리모델링 했어?,신용산역 화장실 5년 내에 리모델링 했어?,
이촌,이촌역,급똥!,이촌역 급똥!,
동작,동작역,여자 장애인 화장실 있어?,동작역 여자 장애인 화장실 있어?,
총신대입구,총신대입구역,여자 화장실에 기저귀 교환대 있어?,총신대입구역 여자 화장실에 기저귀 교환대 있어?,
남태령,남태령역,화장실이 게이트 밖에 있어?,남태령역 화장실이 게이트 밖에 있어?,
방화,방화역,화장실 몇번 출구에 가까워?,방화역 화장실 몇번 출구에 가까워?,
개화산,개화산역,화장실 몇 층이야?,개화산역 화장실 몇 층이야?,
김포공항,김포공항역,화장실 5년 내에 리모델링 했어?,김포공항역 화장실 5년 내에 리모델링 했어?,
송정,송정역,급똥!,송정역 급똥!,
마곡,마곡역,여자 장애인 화장실 있어?,마곡역 여자 장애인 화장실 있어?,
발산,발산역,여자 화장실에 기저귀 교환대 있어?,발산역 여자 화장실에 기저귀 교환대 있어?,
우장산,우장산역,화장실이 게이트 밖에 있어?,우장산역 화장실이 게이트 밖에 있어?,
화곡,화곡역,화장실 몇번 출구에 가까워?,화곡역 화장실 몇번 출구에 가까워?,
까치산,까치산역,화장실 몇 층이야?,까치산역 화장실 몇 층이야?,
신정,신정역,화장실 5년 내에 리모델링 했어?,신정역 화장실 5년 내에 리모델링 했어?,
목동,목동역,급똥!,목동역 급똥!,
오목교,오목교역,여자 장애인 화장실 있어?,오목교역 여자 장애인 화장실 있어?,
양평,양평역,여자 화장실에 기저귀 교환대 있어?,양평역 여자 화장실에 기저귀 교환대 있어?,
영등포시장,영등포시장역,화장실이 게이트 밖에 있어?,영등포시장역 화장실이 게이트 밖에 있어?,
신길,신길역,화장실 몇번 출구에 가까워?,신길역 화장실 몇번 출구에 가까워?,
여의도,여의도역,화장실 몇 층이야?,여의도역 화장실 몇 층이야?,
여의나루,여의나루역,화장실 5년 내에 리모델링 했어?,여의나루역 화장실 5년 내에 리모델링 했어?,
마포,마포역,급똥!,마포역 급똥!,
공덕,공덕역,여자 장애인 화장실 있어?,공덕역 여자 장애인 화장실 있어?,
애오개,애오개역,여자 화장실에 기저귀 교환대 있어?,애오개역 여자 화장실에 기저귀 교환대 있어?,
서대문,서대문역,화장실이 게이트 밖에 있어?,서대문역 화장실이 게이트 밖에 있어?,
광화문,광화문역,화장실 몇번 출구에 가까워?,광화문역 화장실 몇번 출구에 가까워?,
신금호,신금호역,화장실 몇 층이야?,신금호역 화장실 몇 층이야?,
행당,행당역,화장실 5년 내에 리모델링 했어?,행당역 화장실 5년 내에 리모델링 했어?,
마장,마장역,급똥!,마장역 급똥!,
답십리,답십리역,여자 장애인 화장실 있어?,답십리역 여자 장애인 화장실 있어?,
장한평,장한평역,여자 화장실에 기저귀 교환대 있어?,장한평역 여자 화장실에 기저귀 교환대 있어?,
군자,군자역,화장실이 게이트 밖에 있어?,군자역 화장실이 게이트 밖에 있어?,
아차산,아차산역,화장실 몇번 출구에 가까워?,아차산역 화장실 몇번 출구에 가까워?,
광나루,광나루역,화장실 몇 층이야?,광나루역 화장실 몇 층이야?,
천호,천호역,화장실 5년 내에 리모델링 했어?,천호역 화장실 5년 내에 리모델링 했어?,
강동,강동역,급똥!,강동역 급똥!,
길동,길동역,여자 장애인 화장실 있어?,길동역 여자 장애인 화장실 있어?,
굽은다리,굽은다리역,여자 화장실에 기저귀 교환대 있어?,굽은다리역 여자 화장실에 기저귀 교환대 있어?,
명일,명일역,화장실이 게이트 밖에 있어?,명일역 화장실이 게이트 밖에 있어?,
고덕,고덕역,화장실 몇번 출구에 가까워?,고덕역 화장실 몇번 출구에 가까워?,
상일동,상일동역,화장실 몇 층이야?,상일동역 화장실 몇 층이야?,
강일,강일역,화장실 5년 내에 리모델링 했어?,강일역 화장실 5년 내에 리모델링 했어?,
미사,미사역,급똥!,미사역 급똥!,
하남풍산,하남풍산역,여자 장애인 화장실 있어?,하남풍산역 여자 장애인 화장실 있어?,
하남시청,하남시청역,여자 화장실에 기저귀 교환대 있어?,하남시청역 여자 화장실에 기저귀 교환대 있어?,
하남검단산,하남검단산역,화장실이 게이트 밖에 있어?,하남검단산역 화장실이 게이트 밖에 있어?,
둔촌동,둔촌동역,화장실 몇번 출구에 가까워?,둔촌동역 화장실 몇번 출구에 가까워?,
올림픽공원,올림픽공원역,화장실 몇 층이야?,올림픽공원역 화장실 몇 층이야?,
방이,방이역,화장실 5년 내에 리모델링 했어?,방이역 화장실 5년 내에 리모델링 했어?,
개롱,개롱역,급똥!,개롱역 급똥!,
거여,거여역,여자 장애인 화장실 있어?,거여역 여자 장애인 화장실 있어?,
마천,마천역,여자 화장실에 기저귀 교환대 있어?,마천역 여자 화장실에 기저귀 교환대 있어?,
응암,응암역,화장실이 게이트 밖에 있어?,응암역 화장실이 게이트 밖에 있어?,
역촌,역촌역,화장실 몇번 출구에 가까워?,역촌역 화장실 몇번 출구에 가까워?,
독바위,독바위역,화장실 몇 층이야?,독바위역 화장실 몇 층이야?,
구산,구산역,화장실 5년 내에 리모델링 했어?,구산역 화장실 5년 내에 리모델링 했어?,
새절,새절역,급똥!,새절역 급똥!,
증산,증산역,여자 장애인 화장실 있어?,증산역 여자 장애인 화장실 있어?,
디지털미디어시티,디지털미디어시티역,여자 화장실에 기저귀 교환대 있어?,디지털미디어시티역 여자 화장실에 기저귀 교환대 있어?,
월드컵경기장,월드컵경기장역,화장실이 게이트 밖에 있어?,월드컵경기장역 화장실이 게이트 밖에 있어?,
마포구청,마포구청역,화장실 몇번 출구에 가까워?,마포구청역 화장실 몇번 출구에 가까워?,
망원,망원역,화장실 몇 층이야?,망원역 화장실 몇 층이야?,
상수,상수역,화장실 5년 내에 리모델링 했어?,상수역 화장실 5년 내에 리모델링 했어?,
광흥창,광흥창역,급똥!,광흥창역 급똥!,
대흥,대흥역,여자 장애인 화장실 있어?,대흥역 여자 장애인 화장실 있어?,
효창공원앞,효창공원앞역,여자 화장실에 기저귀 교환대 있어?,효창공원앞역 여자 화장실에 기저귀 교환대 있어?,
녹사평,녹사평역,화장실이 게이트 밖에 있어?,녹사평역 화장실이 게이트 밖에 있어?,
이태원,이태원역,화장실 몇번 출구에 가까워?,이태원역 화장실 몇번 출구에 가까워?,
한강진,한강진역,화장실 몇 층이야?,한강진역 화장실 몇 층이야?,
버티고개,버티고개역,화장실 5년 내에 리모델링 했어?,버티고개역 화장실 5년 내에 리모델링 했어?,
청구,청구역,급똥!,청구역 급똥!,
창신,창신역,여자 장애인 화장실 있어?,창신역 여자 장애인 화장실 있어?,
보문,보문역,여자 화장실에 기저귀 교환대 있어?,보문역 여자 화장실에 기저귀 교환대 있어?,
안암,안암역,화장실이 게이트 밖에 있어?,안암역 화장실이 게이트 밖에 있어?,
고려대,고려대역,화장실 몇번 출구에 가까워?,고려대역 화장실 몇번 출구에 가까워?,
월곡,월곡역,화장실 몇 층이야?,월곡역 화장실 몇 층이야?,
상월곡,상월곡역,화장실 5년 내에 리모델링 했어?,상월곡역 화장실 5년 내에 리모델링 했어?,
돌곶이,돌곶이역,급똥!,돌곶이역 급똥!,
석계,석계역,여자 장애인 화장실 있어?,석계역 여자 장애인 화장실 있어?,
태릉입구,태릉입구역,여자 화장실에 기저귀 교환대 있어?,태릉입구역 여자 화장실에 기저귀 교환대 있어?,
화랑대,화랑대역,화장실이 게이트 밖에 있어?,화랑대역 화장실이 게이트 밖에 있어?,
봉화산,봉화산역,화장실 몇번 출구에 가까워?,봉화산역 화장실 몇번 출구에 가까워?,
장암,장암역,화장실 몇 층이야?,장암역 화장실 몇 층이야?,
도봉산,도봉산역,화장실 5년 내에 리모델링 했어?,도봉산역 화장실 5년 내에 리모델링 했어?,
수락산,수락산역,급똥!,수락산역 급똥!,
마들,마들역,여자 장애인 화장실 있어?,마들역 여자 장애인 화장실 있어?,
중계,중계역,여자 화장실에 기저귀 교환대 있어?,중계역 여자 화장실에 기저귀 교환대 있어?,
하계,하계역,화장실이 게이트 밖에 있어?,하계역 화장실이 게이트 밖에 있어?,
공릉,공릉역,화장실 몇번 출구에 가까워?,공릉역 화장실 몇번 출구에 가까워?,
먹골,먹골역,화장실 몇 층이야?,먹골역 화장실 몇 층이야?,
중화,중화역,화장실 5년 내에 리모델링 했어?,중화역 화장실 5년 내에 리모델링 했어?,
상봉,상봉역,급똥!,상봉역 급똥!,
면목,면목역,여자 장애인 화장실 있어?,면목역 여자 장애인 화장실 있어?,
사가정,사가정역,여자 화장실에 기저귀 교환대 있어?,사가정역 여자 화장실에 기저귀 교환대 있어?,
용마산,용마산역,화장실이 게이트 밖에 있어?,용마산역 화장실이 게이트 밖에 있어?,
중곡,중곡역,화장실 몇번 출구에 가까워?,중곡역 화장실 몇번 출구에 가까워?,
어린이대공원,어린이대공원역,화장실 몇 층이야?,어린이대공원역 화장실 몇 층이야?,
뚝섬유원지,뚝섬유원지역,화장실 5년 내에 리모델링 했어?,뚝섬유원지역 화장실 5년 내에 리모델링 했어?,
청담,청담역,급똥!,청담역 급똥!,
강남구청,강남구청역,여자 장애인 화장실 있어?,강남구청역 여자 장애인 화장실 있어?,
학동,학동역,여자 화장실에 기저귀 교환대 있어?,학동역 여자 화장실에 기저귀 교환대 있어?,
논현,논현역,화장실이 게이트 밖에 있어?,논현역 화장실이 게이트 밖에 있어?,
반포,반포역,화장실 몇번 출구에 가까워?,반포역 화장실 몇번 출구에 가까워?,
고속터미널,고속터미널역,화장실 몇 층이야?,고속터미널역 화장실 몇 층이야?,
내방,내방역,화장실 5년 내에 리모델링 했어?,내방역 화장실 5년 내에 리모델링 했어?,
이수,이수역,급똥!,이수역 급똥!,
남성,남성역,여자 장애인 화장실 있어?,남성역 여자 장애인 화장실 있어?,
숭실대입구,숭실대입구역,여자 화장실에 기저귀 교환대 있어?,숭실대입구역 여자 화장실에 기저귀 교환대 있어?,
상도,상도역,화장실이 게이트 밖에 있어?,상도역 화장실이 게이트 밖에 있어?,
장승배기,장승배기역,화장실 몇번 출구에 가까워?,장승배기역 화장실 몇번 출구에 가까워?,
신대방삼거리,신대방삼거리역,화장실 몇 층이야?,신대방삼거리역 화장실 몇 층이야?,
보라매,보라매역,화장실 5년 내에 리모델링 했어?,보라매역 화장실 5년 내에 리모델링 했어?,
신풍,신풍역,급똥!,신풍역 급똥!,
남구로,남구로역,여자 장애인 화장실 있어?,남구로역 여자 장애인 화장실 있어?,
가산디지털단지,가산디지털단지역,여자 화장실에 기저귀 교환대 있어?,가산디지털단지역 여자 화장실에 기저귀 교환대 있어?,
철산,철산역,화장실이 게이트 밖에 있어?,철산역 화장실이 게이트 밖에 있어?,
광명사거리,광명사거리역,화장실 몇번 출구에 가까워?,광명사거리역 화장실 몇번 출구에 가까워?,
천왕,천왕역,화장실 몇 층이야?,천왕역 화장실 몇 층이야?,
온수,온수역,화장실 5년 내에 리모델링 했어?,온수역 화장실 5년 내에 리모델링 했어?,
암사역사공원역,암사역사공원역역,급똥!,암사역사공원역역 급똥!,
암사,암사역,여자 장애인 화장실 있어?,암사역 여자 장애인 화장실 있어?,
강동구청,강동구청역,여자 화장실에 기저귀 교환대 있어?,강동구청역 여자 화장실에 기저귀 교환대 있어?,
몽촌토성,몽촌토성역,화장실이 게이트 밖에 있어?,몽촌토성역 화장실이 게이트 밖에 있어?,
석촌,석촌역,화장실 몇번 출구에 가까워?,석촌역 화장실 몇번 출구에 가까워?,
송파,송파역,화장실 몇 층이야?,송파역 화장실 몇 층이야?,
문정,문정역,화장실 5년 내에 리모델링 했어?,문정역 화장실 5년 내에 리모델링 했어?,
장지,장지역,급똥!,장지역 급똥!,
복정,복정역,여자 장애인 화장실 있어?,복정역 여자 장애인 화장실 있어?,
남위례,남위례역,여자 화장실에 기저귀 교환대 있어?,남위례역 여자 화장실에 기저귀 교환대 있어?,
산성,산성역,화장실이 게이트 밖에 있어?,산성역 화장실이 게이트 밖에 있어?,
남한산성입구,남한산성입구역,화장실 몇번 출구에 가까워?,남한산성입구역 화장실 몇번 출구에 가까워?,
단대오거리,단대오거리역,화장실 몇 층이야?,단대오거리역 화장실 몇 층이야?,
신흥,신흥역,화장실 5년 내에 리모델링 했어?,신흥역 화장실 5년 내에 리모델링 했어?,
수진,수진역,급똥!,수진역 급똥!,
모란,모란역,여자 장애인 화장실 있어?,모란역 여자 장애인 화장실 있어?,
